file,code,label
KeihanshinAreaStationCd,21402,西ノ京
KeihanshinAreaStationCd,21403,九条
KeihanshinAreaStationCd,21404,近鉄郡山
KeihanshinAreaStationCd,21405,筒井
KeihanshinAreaStationCd,21406,平端
KeihanshinAreaStationCd,21407,ﾌｧﾐﾘｰ公園前
KeihanshinAreaStationCd,21408,結崎
KeihanshinAreaStationCd,21409,石見
KeihanshinAreaStationCd,21410,田原本
KeihanshinAreaStationCd,21411,笠縫
KeihanshinAreaStationCd,21412,新ノ口
KeihanshinAreaStationCd,21413,畝傍御陵前
KeihanshinAreaStationCd,21414,八木西口
KeihanshinAreaStationCd,21501,二階堂
KeihanshinAreaStationCd,21502,前栽
KeihanshinAreaStationCd,21503,天理
KeihanshinAreaStationCd,21601,新王寺
KeihanshinAreaStationCd,21602,大輪田
KeihanshinAreaStationCd,21603,佐味田川
KeihanshinAreaStationCd,21604,池部
KeihanshinAreaStationCd,21605,箸尾
KeihanshinAreaStationCd,21606,但馬
KeihanshinAreaStationCd,21607,黒田
KeihanshinAreaStationCd,21608,西田原本
KeihanshinAreaStationCd,21701,生駒
KeihanshinAreaStationCd,21702,新石切
KeihanshinAreaStationCd,21703,吉田
KeihanshinAreaStationCd,21704,荒本
KeihanshinAreaStationCd,21705,長田
KeihanshinAreaStationCd,21801,難波
KeihanshinAreaStationCd,21802,今宮戎
KeihanshinAreaStationCd,21803,新今宮
KeihanshinAreaStationCd,21804,萩ノ茶屋
KeihanshinAreaStationCd,21805,天下茶屋
KeihanshinAreaStationCd,21806,岸里玉出
KeihanshinAreaStationCd,21807,粉浜
KeihanshinAreaStationCd,21808,住吉大社
KeihanshinAreaStationCd,21809,住ノ江
KeihanshinAreaStationCd,21810,七道
KeihanshinAreaStationCd,21811,堺
KeihanshinAreaStationCd,21812,湊
KeihanshinAreaStationCd,21813,石津川
KeihanshinAreaStationCd,21814,諏訪ノ森
KeihanshinAreaStationCd,21815,浜寺公園
KeihanshinAreaStationCd,21816,羽衣
KeihanshinAreaStationCd,21817,高石
KeihanshinAreaStationCd,21818,北助松
KeihanshinAreaStationCd,21819,松ノ浜
KeihanshinAreaStationCd,21820,泉大津
KeihanshinAreaStationCd,21821,忠岡
KeihanshinAreaStationCd,21822,春木
KeihanshinAreaStationCd,21823,和泉大宮
KeihanshinAreaStationCd,21824,岸和田
KeihanshinAreaStationCd,21825,蛸地蔵
KeihanshinAreaStationCd,21826,貝塚
KeihanshinAreaStationCd,21827,二色浜
KeihanshinAreaStationCd,21828,鶴原
KeihanshinAreaStationCd,21829,井原里
KeihanshinAreaStationCd,21830,泉佐野
KeihanshinAreaStationCd,21831,羽倉崎
KeihanshinAreaStationCd,21832,吉見ノ里
KeihanshinAreaStationCd,21833,岡田浦
KeihanshinAreaStationCd,21834,樽井
KeihanshinAreaStationCd,21835,尾崎
KeihanshinAreaStationCd,21836,鳥取ノ荘
KeihanshinAreaStationCd,21837,箱作
KeihanshinAreaStationCd,21838,淡輪
KeihanshinAreaStationCd,21839,みさき公園
KeihanshinAreaStationCd,21840,孝子
KeihanshinAreaStationCd,21841,紀ノ川
KeihanshinAreaStationCd,21842,和歌山市
KeihanshinAreaStationCd,21901,伽羅橋
KeihanshinAreaStationCd,21902,高師浜
KeihanshinAreaStationCd,22001,深日町
KeihanshinAreaStationCd,22002,深日港
KeihanshinAreaStationCd,22003,多奈川
KeihanshinAreaStationCd,22101,東松江
KeihanshinAreaStationCd,22102,中松江
KeihanshinAreaStationCd,22103,八幡前
KeihanshinAreaStationCd,22104,西ノ庄
KeihanshinAreaStationCd,22105,二里ヶ浜
KeihanshinAreaStationCd,22106,磯ノ浦
KeihanshinAreaStationCd,22107,加太
KeihanshinAreaStationCd,22201,久保町
KeihanshinAreaStationCd,22202,築地橋
KeihanshinAreaStationCd,22203,築港町
KeihanshinAreaStationCd,22204,和歌山港
